ID,Name,Type,Area,Website URL,Logo URL,Logo URL (Small),Officer Count
136,Mayan Garrison,Garrison,"Mexico: Tabasco, Chiapas, Oaxaca, Guerrero, Campeche, Yuca",www.mayangarrison.com/,https://www.501st.com/images/logos/125px/Mayan-Garrison.png,https://www.501st.com/images/logos/62px/Mayan-Garrison.png,12
137,Rancor Hunters Garrison,Garrison,"Mexico: Jalisco, Colima, Nayarit, Durango, Zacatecas, Aguascalientes, Chihuahua",https://www.rancorhunters.com/,https://www.501st.com/images/logos/125px/Rancor-Hunters-Garrison.png,https://www.501st.com/images/logos/62px/Rancor-Hunters-Garrison.png,18
138,Thylacine Outpost,Outpost,State of Tasmania (Australia),thylacineoutpost.com/,https://www.501st.com/images/logos/125px/Thylacine-Outpost.png,https://www.501st.com/images/logos/62px/Thylacine-Outpost.png,11
139,Copperhead Outpost,Outpost,"North West, North East and South West Tasmania",www.501stcopperheadoutpost.com/,https://www.501st.com/images/logos/125px/Copperhead-Outpost.png,https://www.501st.com/images/logos/62px/Copperhead-Outpost.png,7
140,Bluegrass Garrison,Garrison,Kentucky (United States),www.bluegrassgarrison.com/,https://www.501st.com/images/logos/125px/Bluegrass-Garrison.png,https://www.501st.com/images/logos/62px/Bluegrass-Garrison.png,9
141,Outpost Paraguay,Outpost,Paraguay,,https://www.501st.com/images/logos/125px/Outpost-Paraguay.png,https://www.501st.com/images/logos/62px/Outpost-Paraguay.png,9
142,Hellenic Outpost,Outpost,Greece,501stgreece.eu,https://www.501st.com/images/logos/125px/Hellenic-Outpost.png,https://www.501st.com/images/logos/62px/Hellenic-Outpost.png,7
143,Canada: Atlantic Garrison,Garrison,"Nova Scotia, New Brunswick, Prince Edward Island, Newfoundland",www.atlanticgarrison.com/,https://www.501st.com/images/logos/125px/Atlantic-Garrison.png,https://www.501st.com/images/logos/62px/Atlantic-Garrison.png,6
145,Baltic Outpost,Outpost,"Latvia, Estonia, and Lithuania",www.facebook.com/groups/8199937448322,https://www.501st.com/images/logos/125px/Baltic-Outpost.png,https://www.501st.com/images/logos/62px/Baltic-Outpost.png,1
146,Brazil: Death Star Garrison,Garrison,"Campinas, Jundiaí, Bauru, São josé do rio preto, Araçatuba, Central, Sorocaba, Presidente prude",www.deathstar501st.com.br,https://www.501st.com/images/logos/125px/Death-Star-Garrison.png,https://www.501st.com/images/logos/62px/Death-Star-Garrison.png,20
147,Vietnam Outpost,Outpost,Vietnam,www.501st.vn/,https://www.501st.com/images/logos/125px/Vietnam-Outpost.png,https://www.501st.com/images/logos/62px/Vietnam-Outpost.png,2
148,Causeway Garrison,Garrison,Northern Ireland,www.501stni.com,https://www.501st.com/images/logos/125px/Causeway-Garrison.png,https://www.501st.com/images/logos/62px/Causeway-Garrison.png,13
149,Cebu Scarif Garrison,Garrison,Central and Southern Philippines,cebuscarifgarrison.com,https://www.501st.com/images/logos/125px/Cebu-Scarif-Garrison.png,https://www.501st.com/images/logos/62px/Cebu-Scarif-Garrison.png,11
150,Malta Beach Outpost,Outpost,Malta,501stmaltaoutpost.com,https://www.501st.com/images/logos/125px/Malta-Beach-Outpost.png,https://www.501st.com/images/logos/62px/Malta-Beach-Outpost.png,1
151,Imperial Scottish Garrison,Garrison,Scotland: (United Kingdom),www.501st.scot,https://www.501st.com/images/logos/125px/Imperial-Scottish-Garrison.png,https://www.501st.com/images/logos/62px/Imperial-Scottish-Garrison.png,10
152,Panama Outpost,Outpost,Panama,,https://www.501st.com/images/logos/125px/Panama-Outpost.png,https://www.501st.com/images/logos/62px/Panama-Outpost.png,8
153,Brazil: Imperial Coastline Garrison,Garrison,States of the Rio de Janeiro and Espirito Santo,www.icg501st.com.br,https://www.501st.com/images/logos/125px/Imperial-Coastline-Garrison.png,https://www.501st.com/images/logos/62px/Imperial-Coastline-Garrison.png,15
154,Swedish Garrison,Garrison,Sweden,swedishgarrison.se,https://www.501st.com/images/logos/125px/Swedish-Garrison.png,https://www.501st.com/images/logos/62px/Swedish-Garrison.png,14
155,Finnish Garrison,Garrison,Finland,501st.fi,https://www.501st.com/images/logos/125px/Finnish-Garrison.png,https://www.501st.com/images/logos/62px/Finnish-Garrison.png,9
156,Bravo Garrison,Garrison,"Tamaulipas, Nuevo Leon y Coahuila (Mexico)",bravogarrison.com/,https://www.501st.com/images/logos/125px/Bravo-Garrison.png,https://www.501st.com/images/logos/62px/Bravo-Garrison.png,17
157,India Outpost,Outpost,India,,https://www.501st.com/images/logos/125px/India-Outpost.png,https://www.501st.com/images/logos/62px/India-Outpost.png,1
158,El Salvador Outpost,Outpost,El Salvador,,https://www.501st.com/images/logos/125px/El-Salvador-Outpost.png,https://www.501st.com/images/logos/62px/El-Salvador-Outpost.png,1
159,Minnesota WolfPack Garrison,Garrison,US State Of Minnesota,wolfpackgarrison.com/,https://www.501st.com/images/logos/125px/Minnesota-Garrison.png,https://www.501st.com/images/logos/62px/Minnesota-Garrison.png,16
160,Utila Outpost,Outpost,"BAY ISLANDS, HONDURAS",,https://www.501st.com/images/logos/125px/Utila-Outpost.png,https://www.501st.com/images/logos/62px/Utila-Outpost.png,4
161,Hawkbat Garrison,Garrison,Iowa,www.hawkbatgarrison.com,https://www.501st.com/images/logos/125px/Hawkbat-Garrison.png,https://www.501st.com/images/logos/62px/Hawkbat-Garrison.png,15
162,Crimson Garrison,Garrison,"Veracruz, Puebla and Tlaxcala",crimsongarrison.com.mx/,https://www.501st.com/images/logos/125px/Crimson-Garrison.png,https://www.501st.com/images/logos/62px/Crimson-Garrison.png,11
163,Battle Born Outpost,Outpost,"US State of Nevada County lines. Washo, Story, Churchhill, Lyon, Carson City, and Douglas ",,https://www.501st.com/images/logos/125px/Battle-Born-Outpost.png,https://www.501st.com/images/logos/62px/Battle-Born-Outpost.png,3
164,Zabrak Garrison,Garrison,"Territorios de Colombia: Tolima, Risaralda, Quindio y Antioquia",zabrakgarrison.com.co,https://www.501st.com/images/logos/125px/imgur.com/a/zabrak-garrison-logo-2bpczMP.png,https://www.501st.com/images/logos/62px/imgur.com/a/zabrak-garrison-logo-2bpczMP.png,6
165,Pacific Thunder Garrison,Garrison,"Nariño, Valle del Cauca, Cauca, Chocó",pacificthundergarrison.com/,https://www.501st.com/images/logos/125px/imgur.com/a/vvGUNSE.png,https://www.501st.com/images/logos/62px/imgur.com/a/vvGUNSE.png,9
